Quarter,Type of personal insolvency administration,State,In a business or company,Number of people entering a new personal insolvency
2020Q1,Debt agreement,Other,No,6
2020Q1,Personal insolvency agreement,New South Wales,No,9
2020Q1,Personal insolvency agreement,Victoria,No,4
2020Q1,Personal insolvency agreement,Queensland,No,4
2020Q1,Personal insolvency agreement,South Australia,No,1
2020Q1,Personal insolvency agreement,Western Australia,No,7
2020Q1,Personal insolvency agreement,Tasmania,No,0
2020Q1,Personal insolvency agreement,Northern Territory,No,0
2020Q1,Personal insolvency agreement,Australian Capital Territory,No,0
2020Q1,Personal insolvency agreement,Other,No,0
2020Q2,Debtor's petition,New South Wales,No,369
2020Q2,Debtor's petition,Victoria,No,190
2020Q2,Debtor's petition,Queensland,No,422
2020Q2,Debtor's petition,South Australia,No,78
2020Q2,Debtor's petition,Western Australia,No,183
2020Q2,Debtor's petition,Tasmania,No,25
2020Q2,Debtor's petition,Northern Territory,No,24
2020Q2,Debtor's petition,Australian Capital Territory,No,18
2020Q2,Debtor's petition,Other,No,6
2020Q2,Sequestration order,New South Wales,No,40
2020Q2,Sequestration order,Victoria,No,17
2020Q2,Sequestration order,Queensland,No,19
2020Q2,Sequestration order,South Australia,No,6
2020Q2,Sequestration order,Western Australia,No,3
2020Q2,Sequestration order,Tasmania,No,0
2020Q2,Sequestration order,Northern Territory,No,0
2020Q2,Sequestration order,Australian Capital Territory,No,2
2020Q2,Sequestration order,Other,No,0
2020Q2,Total bankruptcies,New South Wales,No,409
2020Q2,Total bankruptcies,Victoria,No,207
2020Q2,Total bankruptcies,Queensland,No,441
2020Q2,Total bankruptcies,South Australia,No,84
2020Q2,Total bankruptcies,Western Australia,No,186
2020Q2,Total bankruptcies,Tasmania,No,25
2020Q2,Total bankruptcies,Northern Territory,No,24
2020Q2,Total bankruptcies,Australian Capital Territory,No,20
2020Q2,Total bankruptcies,Other,No,6
2020Q2,Deceased estate,New South Wales,No,0
2020Q2,Deceased estate,Victoria,No,0
2020Q2,Deceased estate,Queensland,No,0
2020Q2,Deceased estate,South Australia,No,0
2020Q2,Deceased estate,Western Australia,No,0
2020Q2,Deceased estate,Tasmania,No,0
2020Q2,Deceased estate,Northern Territory,No,0
2020Q2,Deceased estate,Australian Capital Territory,No,0
2020Q2,Deceased estate,Other,No,2
2020Q2,Debt agreement,New South Wales,No,545
2020Q2,Debt agreement,Victoria,No,360
2020Q2,Debt agreement,Queensland,No,561
2020Q2,Debt agreement,South Australia,No,92
2020Q2,Debt agreement,Western Australia,No,209
2020Q2,Debt agreement,Tasmania,No,33
2020Q2,Debt agreement,Northern Territory,No,21
2020Q2,Debt agreement,Australian Capital Territory,No,20
2020Q2,Debt agreement,Other,No,1
2020Q2,Personal insolvency agreement,New South Wales,No,5
2020Q2,Personal insolvency agreement,Victoria,No,5
2020Q2,Personal insolvency agreement,Queensland,No,9
2020Q2,Personal insolvency agreement,South Australia,No,3
2020Q2,Personal insolvency agreement,Western Australia,No,3
2020Q2,Personal insolvency agreement,Tasmania,No,0
2020Q2,Personal insolvency agreement,Northern Territory,No,0
2020Q2,Personal insolvency agreement,Australian Capital Territory,No,0
2020Q2,Personal insolvency agreement,Other,No,0
2020Q3,Debtor's petition,New South Wales,No,296
2020Q3,Debtor's petition,Victoria,No,145
2020Q3,Debtor's petition,Queensland,No,264
2020Q3,Debtor's petition,South Australia,No,60
2020Q3,Debtor's petition,Western Australia,No,126
2020Q3,Debtor's petition,Tasmania,No,25
2020Q3,Debtor's petition,Northern Territory,No,10
2020Q3,Debtor's petition,Australian Capital Territory,No,8
2020Q3,Debtor's petition,Other,No,9
2020Q3,Sequestration order,New South Wales,No,30
2020Q3,Sequestration order,Victoria,No,20
2020Q3,Sequestration order,Queensland,No,4
2020Q3,Sequestration order,South Australia,No,3
2020Q3,Sequestration order,Western Australia,No,9
2020Q3,Sequestration order,Tasmania,No,0
2020Q3,Sequestration order,Northern Territory,No,0
2020Q3,Sequestration order,Australian Capital Territory,No,4
2020Q3,Sequestration order,Other,No,0
2020Q3,Total bankruptcies,New South Wales,No,326
2020Q3,Total bankruptcies,Victoria,No,165
2020Q3,Total bankruptcies,Queensland,No,268
2020Q3,Total bankruptcies,South Australia,No,63
2020Q3,Total bankruptcies,Western Australia,No,135
2020Q3,Total bankruptcies,Tasmania,No,25
2020Q3,Total bankruptcies,Northern Territory,No,10
2020Q3,Total bankruptcies,Australian Capital Territory,No,12
2020Q3,Total bankruptcies,Other,No,9
2020Q3,Deceased estate,New South Wales,No,0
2020Q3,Deceased estate,Victoria,No,0
2020Q3,Deceased estate,Queensland,No,0
2020Q3,Deceased estate,South Australia,No,0
2020Q3,Deceased estate,Western Australia,No,0
2020Q3,Deceased estate,Tasmania,No,0
2020Q3,Deceased estate,Northern Territory,No,0
2020Q3,Deceased estate,Australian Capital Territory,No,0
2020Q3,Deceased estate,Other,No,4
2020Q3,Debt agreement,New South Wales,No,342
2020Q3,Debt agreement,Victoria,No,231
2020Q3,Debt agreement,Queensland,No,315
2020Q3,Debt agreement,South Australia,No,59
2020Q3,Debt agreement,Western Australia,No,131
2020Q3,Debt agreement,Tasmania,No,24
2020Q3,Debt agreement,Northern Territory,No,19
2020Q3,Debt agreement,Australian Capital Territory,No,17
2020Q3,Debt agreement,Other,No,4
2020Q3,Personal insolvency agreement,New South Wales,No,3
2020Q3,Personal insolvency agreement,Victoria,No,5
2020Q3,Personal insolvency agreement,Queensland,No,2
2020Q3,Personal insolvency agreement,South Australia,No,1
2020Q3,Personal insolvency agreement,Western Australia,No,3
2020Q3,Personal insolvency agreement,Tasmania,No,0
2020Q3,Personal insolvency agreement,Northern Territory,No,0
2020Q3,Personal insolvency agreement,Australian Capital Territory,No,0
2020Q3,Personal insolvency agreement,Other,No,0
2020Q4,Debtor's petition,New South Wales,No,332
2020Q4,Debtor's petition,Victoria,No,124
2020Q4,Debtor's petition,Queensland,No,336
2020Q4,Debtor's petition,South Australia,No,64
2020Q4,Debtor's petition,Western Australia,No,104
2020Q4,Debtor's petition,Tasmania,No,32
2020Q4,Debtor's petition,Northern Territory,No,4
2020Q4,Debtor's petition,Australian Capital Territory,No,7
2020Q4,Debtor's petition,Other,No,12
2020Q4,Sequestration order,New South Wales,No,9
2020Q4,Sequestration order,Victoria,No,12
2020Q4,Sequestration order,Queensland,No,9
2020Q4,Sequestration order,South Australia,No,2
2020Q4,Sequestration order,Western Australia,No,3
2020Q4,Sequestration order,Tasmania,No,0
2020Q4,Sequestration order,Northern Territory,No,0
2020Q4,Sequestration order,Australian Capital Territory,No,0
2020Q4,Sequestration order,Other,No,0
2020Q4,Total bankruptcies,New South Wales,No,341
2020Q4,Total bankruptcies,Victoria,No,136
2020Q4,Total bankruptcies,Queensland,No,345
2020Q4,Total bankruptcies,South Australia,No,66
2020Q4,Total bankruptcies,Western Australia,No,107
2020Q4,Total bankruptcies,Tasmania,No,32
2020Q4,Total bankruptcies,Northern Territory,No,4
2020Q4,Total bankruptcies,Australian Capital Territory,No,7
2020Q4,Total bankruptcies,Other,No,12
2020Q4,Deceased estate,New South Wales,No,0
2020Q4,Deceased estate,Victoria,No,0
2020Q4,Deceased estate,Queensland,No,0
2020Q4,Deceased estate,South Australia,No,0
2020Q4,Deceased estate,Western Australia,No,0
2020Q4,Deceased estate,Tasmania,No,0
2020Q4,Deceased estate,Northern Territory,No,0
2020Q4,Deceased estate,Australian Capital Territory,No,0
2020Q4,Deceased estate,Other,No,3
2020Q4,Debt agreement,New South Wales,No,222
2020Q4,Debt agreement,Victoria,No,132
2020Q4,Debt agreement,Queensland,No,196
2020Q4,Debt agreement,South Australia,No,37
2020Q4,Debt agreement,Western Australia,No,62
2020Q4,Debt agreement,Tasmania,No,18
2020Q4,Debt agreement,Northern Territory,No,8
2020Q4,Debt agreement,Australian Capital Territory,No,9
2020Q4,Debt agreement,Other,No,4
2020Q4,Personal insolvency agreement,New South Wales,No,3
2020Q4,Personal insolvency agreement,Victoria,No,2
2020Q4,Personal insolvency agreement,Queensland,No,3
2020Q4,Personal insolvency agreement,South Australia,No,1
2020Q4,Personal insolvency agreement,Western Australia,No,4
2020Q4,Personal insolvency agreement,Tasmania,No,0
2020Q4,Personal insolvency agreement,Northern Territory,No,0
2020Q4,Personal insolvency agreement,Australian Capital Territory,No,0
2020Q4,Personal insolvency agreement,Other,No,1
2021Q1,Debtor's petition,New South Wales,No,374
2021Q1,Debtor's petition,Victoria,No,166
2021Q1,Debtor's petition,Queensland,No,348
2021Q1,Debtor's petition,South Australia,No,94
2021Q1,Debtor's petition,Western Australia,No,107
2021Q1,Debtor's petition,Tasmania,No,24
2021Q1,Debtor's petition,Northern Territory,No,9
2021Q1,Debtor's petition,Australian Capital Territory,No,12
2021Q1,Debtor's petition,Other,No,18
2021Q1,Sequestration order,New South Wales,No,11
2021Q1,Sequestration order,Victoria,No,8
2021Q1,Sequestration order,Queensland,No,5
2021Q1,Sequestration order,South Australia,No,0
2021Q1,Sequestration order,Western Australia,No,5
2021Q1,Sequestration order,Tasmania,No,0
2021Q1,Sequestration order,Northern Territory,No,0
2021Q1,Sequestration order,Australian Capital Territory,No,0
2021Q1,Sequestration order,Other,No,3
2021Q1,Total bankruptcies,New South Wales,No,385
2021Q1,Total bankruptcies,Victoria,No,174
2021Q1,Total bankruptcies,Queensland,No,353
2021Q1,Total bankruptcies,South Australia,No,94
2021Q1,Total bankruptcies,Western Australia,No,112
2021Q1,Total bankruptcies,Tasmania,No,24
2021Q1,Total bankruptcies,Northern Territory,No,9
2021Q1,Total bankruptcies,Australian Capital Territory,No,12
2021Q1,Total bankruptcies,Other,No,21
2021Q1,Deceased estate,New South Wales,No,0
2021Q1,Deceased estate,Victoria,No,0
2021Q1,Deceased estate,Queensland,No,0
2021Q1,Deceased estate,South Australia,No,0
2021Q1,Deceased estate,Western Australia,No,0
2021Q1,Deceased estate,Tasmania,No,0
2021Q1,Deceased estate,Northern Territory,No,0
2021Q1,Deceased estate,Australian Capital Territory,No,0
2021Q1,Deceased estate,Other,No,0
2021Q1,Debt agreement,New South Wales,No,241
2021Q1,Debt agreement,Victoria,No,128
2021Q1,Debt agreement,Queensland,No,215
2021Q1,Debt agreement,South Australia,No,43
2021Q1,Debt agreement,Western Australia,No,91
2021Q1,Debt agreement,Tasmania,No,20
2021Q1,Debt agreement,Northern Territory,No,15
2021Q1,Debt agreement,Australian Capital Territory,No,10
2021Q1,Debt agreement,Other,No,3
2021Q1,Personal insolvency agreement,New South Wales,No,1
2021Q1,Personal insolvency agreement,Victoria,No,0
2021Q1,Personal insolvency agreement,Queensland,No,0
2021Q1,Personal insolvency agreement,South Australia,No,0
2021Q1,Personal insolvency agreement,Western Australia,No,2
2021Q1,Personal insolvency agreement,Tasmania,No,0
2021Q1,Personal insolvency agreement,Northern Territory,No,0
2021Q1,Personal insolvency agreement,Australian Capital Territory,No,0
2021Q1,Personal insolvency agreement,Other,No,0
2021Q2,Debtor's petition,New South Wales,No,308
2021Q2,Debtor's petition,Victoria,No,144
2021Q2,Debtor's petition,Queensland,No,315
2021Q2,Debtor's petition,South Australia,No,90
2021Q2,Debtor's petition,Western Australia,No,128
2021Q2,Debtor's petition,Tasmania,No,43
2021Q2,Debtor's petition,Northern Territory,No,6
2021Q2,Debtor's petition,Australian Capital Territory,No,12
2021Q2,Debtor's petition,Other,No,5
2021Q2,Sequestration order,New South Wales,No,24
2021Q2,Sequestration order,Victoria,No,23
2021Q2,Sequestration order,Queensland,No,15
2021Q2,Sequestration order,South Australia,No,3
2021Q2,Sequestration order,Western Australia,No,5
2021Q2,Sequestration order,Tasmania,No,1
2021Q2,Sequestration order,Northern Territory,No,1
2021Q2,Sequestration order,Australian Capital Territory,No,1
2021Q2,Sequestration order,Other,No,0
2021Q2,Total bankruptcies,New South Wales,No,332
2021Q2,Total bankruptcies,Victoria,No,167
2021Q2,Total bankruptcies,Queensland,No,330
2021Q2,Total bankruptcies,South Australia,No,93
2021Q2,Total bankruptcies,Western Australia,No,133
2021Q2,Total bankruptcies,Tasmania,No,44
2021Q2,Total bankruptcies,Northern Territory,No,7
2021Q2,Total bankruptcies,Australian Capital Territory,No,13
2021Q2,Total bankruptcies,Other,No,5
2021Q2,Deceased estate,New South Wales,No,0
2021Q2,Deceased estate,Victoria,No,0
2021Q2,Deceased estate,Queensland,No,0
2021Q2,Deceased estate,South Australia,No,0
2021Q2,Deceased estate,Western Australia,No,0
2021Q2,Deceased estate,Tasmania,No,0
2021Q2,Deceased estate,Northern Territory,No,0
2021Q2,Deceased estate,Australian Capital Territory,No,0
2021Q2,Deceased estate,Other,No,1
2021Q2,Debt agreement,New South Wales,No,278
2021Q2,Debt agreement,Victoria,No,156
2021Q2,Debt agreement,Queensland,No,219
2021Q2,Debt agreement,South Australia,No,45
2021Q2,Debt agreement,Western Australia,No,100
2021Q2,Debt agreement,Tasmania,No,30
2021Q2,Debt agreement,Northern Territory,No,11
2021Q2,Debt agreement,Australian Capital Territory,No,16
2021Q2,Debt agreement,Other,No,1
2021Q2,Personal insolvency agreement,New South Wales,No,3
2021Q2,Personal insolvency agreement,Victoria,No,1
2021Q2,Personal insolvency agreement,Queensland,No,3
2021Q2,Personal insolvency agreement,South Australia,No,1
2021Q2,Personal insolvency agreement,Western Australia,No,2
2021Q2,Personal insolvency agreement,Tasmania,No,0
2021Q2,Personal insolvency agreement,Northern Territory,No,0
2021Q2,Personal insolvency agreement,Australian Capital Territory,No,0
2021Q2,Personal insolvency agreement,Other,No,0
2021Q3,Debtor's petition,New South Wales,No,253
2021Q3,Debtor's petition,Victoria,No,153
2021Q3,Debtor's petition,Queensland,No,287
2021Q3,Debtor's petition,South Australia,No,71
2021Q3,Debtor's petition,Western Australia,No,116
2021Q3,Debtor's petition,Tasmania,No,35
2021Q3,Debtor's petition,Northern Territory,No,5
2021Q3,Debtor's petition,Australian Capital Territory,No,8
2021Q3,Debtor's petition,Other,No,5
2021Q3,Sequestration order,New South Wales,No,62
2021Q3,Sequestration order,Victoria,No,37
2021Q3,Sequestration order,Queensland,No,15
2021Q3,Sequestration order,South Australia,No,6
2021Q3,Sequestration order,Western Australia,No,8
2021Q3,Sequestration order,Tasmania,No,0
2021Q3,Sequestration order,Northern Territory,No,1
2021Q3,Sequestration order,Australian Capital Territory,No,2
2021Q3,Sequestration order,Other,No,0
2021Q3,Total bankruptcies,New South Wales,No,315
2021Q3,Total bankruptcies,Victoria,No,190
2021Q3,Total bankruptcies,Queensland,No,302
2021Q3,Total bankruptcies,South Australia,No,77
2021Q3,Total bankruptcies,Western Australia,No,124
2021Q3,Total bankruptcies,Tasmania,No,35
2021Q3,Total bankruptcies,Northern Territory,No,6
2021Q3,Total bankruptcies,Australian Capital Territory,No,10
2021Q3,Total bankruptcies,Other,No,5
2021Q3,Deceased estate,New South Wales,No,0
2021Q3,Deceased estate,Victoria,No,0
2021Q3,Deceased estate,Queensland,No,0
2021Q3,Deceased estate,South Australia,No,0
2021Q3,Deceased estate,Western Australia,No,0
2021Q3,Deceased estate,Tasmania,No,0
2021Q3,Deceased estate,Northern Territory,No,0
2021Q3,Deceased estate,Australian Capital Territory,No,0
2021Q3,Deceased estate,Other,No,1
2021Q3,Debt agreement,New South Wales,No,309
2021Q3,Debt agreement,Victoria,No,145
2021Q3,Debt agreement,Queensland,No,265
2021Q3,Debt agreement,South Australia,No,42
2021Q3,Debt agreement,Western Australia,No,85
2021Q3,Debt agreement,Tasmania,No,24
2021Q3,Debt agreement,Northern Territory,No,21
2021Q3,Debt agreement,Australian Capital Territory,No,12
2021Q3,Debt agreement,Other,No,1
2021Q3,Personal insolvency agreement,New South Wales,No,7
2021Q3,Personal insolvency agreement,Victoria,No,1
2021Q3,Personal insolvency agreement,Queensland,No,9
2021Q3,Personal insolvency agreement,South Australia,No,1
2021Q3,Personal insolvency agreement,Western Australia,No,3
2021Q3,Personal insolvency agreement,Tasmania,No,0
2021Q3,Personal insolvency agreement,Northern Territory,No,0
2021Q3,Personal insolvency agreement,Australian Capital Territory,No,1
2021Q3,Personal insolvency agreement,Other,No,0
2021Q4,Debtor's petition,New South Wales,No,243
2021Q4,Debtor's petition,Victoria,No,102
2021Q4,Debtor's petition,Queensland,No,270
2021Q4,Debtor's petition,South Australia,No,60
2021Q4,Debtor's petition,Western Australia,No,99
2021Q4,Debtor's petition,Tasmania,No,36
2021Q4,Debtor's petition,Northern Territory,No,3
2021Q4,Debtor's petition,Australian Capital Territory,No,6
2021Q4,Debtor's petition,Other,No,3
2021Q4,Sequestration order,New South Wales,No,58
2021Q4,Sequestration order,Victoria,No,37
2021Q4,Sequestration order,Queensland,No,26
2021Q4,Sequestration order,South Australia,No,8
2021Q4,Sequestration order,Western Australia,No,7
2021Q4,Sequestration order,Tasmania,No,1
2021Q4,Sequestration order,Northern Territory,No,0
2021Q4,Sequestration order,Australian Capital Territory,No,0
2021Q4,Sequestration order,Other,No,0
2021Q4,Total bankruptcies,New South Wales,No,301
2021Q4,Total bankruptcies,Victoria,No,139
2021Q4,Total bankruptcies,Queensland,No,296
2021Q4,Total bankruptcies,South Australia,No,68
2021Q4,Total bankruptcies,Western Australia,No,106
2021Q4,Total bankruptcies,Tasmania,No,37
2021Q4,Total bankruptcies,Northern Territory,No,3
2021Q4,Total bankruptcies,Australian Capital Territory,No,6
2021Q4,Total bankruptcies,Other,No,3
2021Q4,Deceased estate,New South Wales,No,0
2021Q4,Deceased estate,Victoria,No,0
2021Q4,Deceased estate,Queensland,No,0
2021Q4,Deceased estate,South Australia,No,0
2021Q4,Deceased estate,Western Australia,No,0
2021Q4,Deceased estate,Tasmania,No,0
2021Q4,Deceased estate,Northern Territory,No,0
2021Q4,Deceased estate,Australian Capital Territory,No,0
2021Q4,Deceased estate,Other,No,1
2021Q4,Debt agreement,New South Wales,No,224
2021Q4,Debt agreement,Victoria,No,125
2021Q4,Debt agreement,Queensland,No,257
2021Q4,Debt agreement,South Australia,No,54
2021Q4,Debt agreement,Western Australia,No,89
2021Q4,Debt agreement,Tasmania,No,27
2021Q4,Debt agreement,Northern Territory,No,8
2021Q4,Debt agreement,Australian Capital Territory,No,12
2021Q4,Debt agreement,Other,No,2
2021Q4,Personal insolvency agreement,New South Wales,No,3
2021Q4,Personal insolvency agreement,Victoria,No,2
2021Q4,Personal insolvency agreement,Queensland,No,8
2021Q4,Personal insolvency agreement,South Australia,No,1
2021Q4,Personal insolvency agreement,Western Australia,No,3
2021Q4,Personal insolvency agreement,Tasmania,No,0
2021Q4,Personal insolvency agreement,Northern Territory,No,0
2021Q4,Personal insolvency agreement,Australian Capital Territory,No,0
2021Q4,Personal insolvency agreement,Other,No,0
2022Q1,Debtor's petition,New South Wales,No,259
2022Q1,Debtor's petition,Victoria,No,143
2022Q1,Debtor's petition,Queensland,No,289
2022Q1,Debtor's petition,South Australia,No,70
2022Q1,Debtor's petition,Western Australia,No,90
2022Q1,Debtor's petition,Tasmania,No,30
2022Q1,Debtor's petition,Northern Territory,No,4
2022Q1,Debtor's petition,Australian Capital Territory,No,11
2022Q1,Debtor's petition,Other,No,18
2022Q1,Sequestration order,New South Wales,No,42
2022Q1,Sequestration order,Victoria,No,26
2022Q1,Sequestration order,Queensland,No,30
2022Q1,Sequestration order,South Australia,No,0
2022Q1,Sequestration order,Western Australia,No,4
2022Q1,Sequestration order,Tasmania,No,0
2022Q1,Sequestration order,Northern Territory,No,0
2022Q1,Sequestration order,Australian Capital Territory,No,1
2022Q1,Sequestration order,Other,No,0
2022Q1,Total bankruptcies,New South Wales,No,301
2022Q1,Total bankruptcies,Victoria,No,169
2022Q1,Total bankruptcies,Queensland,No,319
2022Q1,Total bankruptcies,South Australia,No,70
2022Q1,Total bankruptcies,Western Australia,No,94
2022Q1,Total bankruptcies,Tasmania,No,30
2022Q1,Total bankruptcies,Northern Territory,No,4
2022Q1,Total bankruptcies,Australian Capital Territory,No,12
2022Q1,Total bankruptcies,Other,No,18
2022Q1,Deceased estate,New South Wales,No,0
2022Q1,Deceased estate,Victoria,No,0
2022Q1,Deceased estate,Queensland,No,0
2022Q1,Deceased estate,South Australia,No,0
2022Q1,Deceased estate,Western Australia,No,0
2022Q1,Deceased estate,Tasmania,No,0
2022Q1,Deceased estate,Northern Territory,No,0
2022Q1,Deceased estate,Australian Capital Territory,No,0
2022Q1,Deceased estate,Other,No,3
2022Q1,Debt agreement,New South Wales,No,200
2022Q1,Debt agreement,Victoria,No,99
2022Q1,Debt agreement,Queensland,No,228
2022Q1,Debt agreement,South Australia,No,46
2022Q1,Debt agreement,Western Australia,No,59
2022Q1,Debt agreement,Tasmania,No,26
2022Q1,Debt agreement,Northern Territory,No,10
2022Q1,Debt agreement,Australian Capital Territory,No,6
2022Q1,Debt agreement,Other,No,1
2022Q1,Personal insolvency agreement,New South Wales,No,4
2022Q1,Personal insolvency agreement,Victoria,No,2
2022Q1,Personal insolvency agreement,Queensland,No,6
2022Q1,Personal insolvency agreement,South Australia,No,1
2022Q1,Personal insolvency agreement,Western Australia,No,1
2022Q1,Personal insolvency agreement,Tasmania,No,0
2022Q1,Personal insolvency agreement,Northern Territory,No,0
2022Q1,Personal insolvency agreement,Australian Capital Territory,No,0
2022Q1,Personal insolvency agreement,Other,No,0
2022Q2,Debtor's petition,New South Wales,No,224
2022Q2,Debtor's petition,Victoria,No,125
2022Q2,Debtor's petition,Queensland,No,230
2022Q2,Debtor's petition,South Australia,No,57
2022Q2,Debtor's petition,Western Australia,No,83
2022Q2,Debtor's petition,Tasmania,No,36
2022Q2,Debtor's petition,Northern Territory,No,3
2022Q2,Debtor's petition,Australian Capital Territory,No,4
2022Q2,Debtor's petition,Other,No,49
2022Q2,Sequestration order,New South Wales,No,25
2022Q2,Sequestration order,Victoria,No,27
2022Q2,Sequestration order,Queensland,No,22
2022Q2,Sequestration order,South Australia,No,1
2022Q2,Sequestration order,Western Australia,No,7
2022Q2,Sequestration order,Tasmania,No,0
2022Q2,Sequestration order,Northern Territory,No,0
2022Q2,Sequestration order,Australian Capital Territory,No,2
2022Q2,Sequestration order,Other,No,4
2022Q2,Total bankruptcies,New South Wales,No,249
2022Q2,Total bankruptcies,Victoria,No,152
2022Q2,Total bankruptcies,Queensland,No,252
2022Q2,Total bankruptcies,South Australia,No,58
2022Q2,Total bankruptcies,Western Australia,No,90
2022Q2,Total bankruptcies,Tasmania,No,36
2022Q2,Total bankruptcies,Northern Territory,No,3
2022Q2,Total bankruptcies,Australian Capital Territory,No,6
2022Q2,Total bankruptcies,Other,No,53
2022Q2,Deceased estate,New South Wales,No,0
2022Q2,Deceased estate,Victoria,No,0
2022Q2,Deceased estate,Queensland,No,0
2022Q2,Deceased estate,South Australia,No,0
2022Q2,Deceased estate,Western Australia,No,0
2022Q2,Deceased estate,Tasmania,No,0
2022Q2,Deceased estate,Northern Territory,No,0
2022Q2,Deceased estate,Australian Capital Territory,No,0
2022Q2,Deceased estate,Other,No,4
2022Q2,Debt agreement,New South Wales,No,248
2022Q2,Debt agreement,Victoria,No,134
2022Q2,Debt agreement,Queensland,No,267
2022Q2,Debt agreement,South Australia,No,56
2022Q2,Debt agreement,Western Australia,No,80
2022Q2,Debt agreement,Tasmania,No,19
2022Q2,Debt agreement,Northern Territory,No,6
2022Q2,Debt agreement,Australian Capital Territory,No,9
2022Q2,Debt agreement,Other,No,2
2022Q2,Personal insolvency agreement,New South Wales,No,5
2022Q2,Personal insolvency agreement,Victoria,No,1
2022Q2,Personal insolvency agreement,Queensland,No,10
2022Q2,Personal insolvency agreement,South Australia,No,1
2022Q2,Personal insolvency agreement,Western Australia,No,2
2022Q2,Personal insolvency agreement,Tasmania,No,0
2022Q2,Personal insolvency agreement,Northern Territory,No,0
2022Q2,Personal insolvency agreement,Australian Capital Territory,No,0
2022Q2,Personal insolvency agreement,Other,No,0
2022Q3,Debtor's petition,New South Wales,No,251
2022Q3,Debtor's petition,Victoria,No,118
2022Q3,Debtor's petition,Queensland,No,226
2022Q3,Debtor's petition,South Australia,No,48
2022Q3,Debtor's petition,Western Australia,No,73
2022Q3,Debtor's petition,Tasmania,No,35
2022Q3,Debtor's petition,Northern Territory,No,6
2022Q3,Debtor's petition,Australian Capital Territory,No,6
2022Q3,Debtor's petition,Other,No,56
2022Q3,Sequestration order,New South Wales,No,44
2022Q3,Sequestration order,Victoria,No,23
2022Q3,Sequestration order,Queensland,No,16
2022Q3,Sequestration order,South Australia,No,6
2022Q3,Sequestration order,Western Australia,No,7
2022Q3,Sequestration order,Tasmania,No,0
2022Q3,Sequestration order,Northern Territory,No,2
2022Q3,Sequestration order,Australian Capital Territory,No,0
2022Q3,Sequestration order,Other,No,1
2022Q3,Total bankruptcies,New South Wales,No,295
2022Q3,Total bankruptcies,Victoria,No,141
2022Q3,Total bankruptcies,Queensland,No,242
2022Q3,Total bankruptcies,South Australia,No,54
2022Q3,Total bankruptcies,Western Australia,No,80
2022Q3,Total bankruptcies,Tasmania,No,35
2022Q3,Total bankruptcies,Northern Territory,No,8
2022Q3,Total bankruptcies,Australian Capital Territory,No,6
2022Q3,Total bankruptcies,Other,No,57
2022Q3,Deceased estate,New South Wales,No,0
2022Q3,Deceased estate,Victoria,No,0
2022Q3,Deceased estate,Queensland,No,0
2022Q3,Deceased estate,South Australia,No,0
2022Q3,Deceased estate,Western Australia,No,0
2022Q3,Deceased estate,Tasmania,No,0
2022Q3,Deceased estate,Northern Territory,No,0
2022Q3,Deceased estate,Australian Capital Territory,No,0
2022Q3,Deceased estate,Other,No,6
2022Q3,Debt agreement,New South Wales,No,277
2022Q3,Debt agreement,Victoria,No,141
2022Q3,Debt agreement,Queensland,No,300
2022Q3,Debt agreement,South Australia,No,48
2022Q3,Debt agreement,Western Australia,No,74
2022Q3,Debt agreement,Tasmania,No,29
2022Q3,Debt agreement,Northern Territory,No,14
2022Q3,Debt agreement,Australian Capital Territory,No,11
2022Q3,Debt agreement,Other,No,1
2022Q3,Personal insolvency agreement,New South Wales,No,4
2022Q3,Personal insolvency agreement,Victoria,No,5
2022Q3,Personal insolvency agreement,Queensland,No,3
2022Q3,Personal insolvency agreement,South Australia,No,2
2022Q3,Personal insolvency agreement,Western Australia,No,2
2022Q3,Personal insolvency agreement,Tasmania,No,1
2022Q3,Personal insolvency agreement,Northern Territory,No,0
2022Q3,Personal insolvency agreement,Australian Capital Territory,No,0
2022Q3,Personal insolvency agreement,Other,No,0
2022Q4,Debtor's petition,New South Wales,No,237
2022Q4,Debtor's petition,Victoria,No,120
2022Q4,Debtor's petition,Queensland,No,164
2022Q4,Debtor's petition,South Australia,No,53
2022Q4,Debtor's petition,Western Australia,No,64
2022Q4,Debtor's petition,Tasmania,No,35
2022Q4,Debtor's petition,Northern Territory,No,6
2022Q4,Debtor's petition,Australian Capital Territory,No,5
2022Q4,Debtor's petition,Other,No,62
2022Q4,Sequestration order,New South Wales,No,47
2022Q4,Sequestration order,Victoria,No,17
2022Q4,Sequestration order,Queensland,No,19
2022Q4,Sequestration order,South Australia,No,3
2022Q4,Sequestration order,Western Australia,No,10
2022Q4,Sequestration order,Tasmania,No,1
2022Q4,Sequestration order,Northern Territory,No,2
2022Q4,Sequestration order,Australian Capital Territory,No,0
2022Q4,Sequestration order,Other,No,4
2022Q4,Total bankruptcies,New South Wales,No,284
2022Q4,Total bankruptcies,Victoria,No,137
2022Q4,Total bankruptcies,Queensland,No,183
2022Q4,Total bankruptcies,South Australia,No,56
2022Q4,Total bankruptcies,Western Australia,No,74
2022Q4,Total bankruptcies,Tasmania,No,36
2022Q4,Total bankruptcies,Northern Territory,No,8
2022Q4,Total bankruptcies,Australian Capital Territory,No,5
2022Q4,Total bankruptcies,Other,No,66
2022Q4,Deceased estate,New South Wales,No,0
2022Q4,Deceased estate,Victoria,No,0
