Quarter,Type of personal insolvency administration,State,In a business or company,Number of people entering a new personal insolvency
2008Q3,Debt agreement,Western Australia,Yes,5
2008Q3,Debt agreement,Tasmania,Yes,2
2008Q3,Debt agreement,Northern Territory,Yes,0
2008Q3,Debt agreement,Australian Capital Territory,Yes,0
2008Q3,Debt agreement,Other,Yes,0
2008Q3,Personal insolvency agreement,New South Wales,Yes,14
2008Q3,Personal insolvency agreement,Victoria,Yes,55
2008Q3,Personal insolvency agreement,Queensland,Yes,7
2008Q3,Personal insolvency agreement,South Australia,Yes,3
2008Q3,Personal insolvency agreement,Western Australia,Yes,6
2008Q3,Personal insolvency agreement,Tasmania,Yes,1
2008Q3,Personal insolvency agreement,Northern Territory,Yes,0
2008Q3,Personal insolvency agreement,Australian Capital Territory,Yes,1
2008Q3,Personal insolvency agreement,Other,Yes,0
2008Q4,Debtor's petition,New South Wales,Yes,786
2008Q4,Debtor's petition,Victoria,Yes,418
2008Q4,Debtor's petition,Queensland,Yes,452
2008Q4,Debtor's petition,South Australia,Yes,105
2008Q4,Debtor's petition,Western Australia,Yes,133
2008Q4,Debtor's petition,Tasmania,Yes,47
2008Q4,Debtor's petition,Northern Territory,Yes,8
2008Q4,Debtor's petition,Australian Capital Territory,Yes,20
2008Q4,Debtor's petition,Other,Yes,11
2008Q4,Sequestration order,New South Wales,Yes,142
2008Q4,Sequestration order,Victoria,Yes,86
2008Q4,Sequestration order,Queensland,Yes,69
2008Q4,Sequestration order,South Australia,Yes,15
2008Q4,Sequestration order,Western Australia,Yes,8
2008Q4,Sequestration order,Tasmania,Yes,6
2008Q4,Sequestration order,Northern Territory,Yes,1
2008Q4,Sequestration order,Australian Capital Territory,Yes,1
2008Q4,Sequestration order,Other,Yes,7
2008Q4,Total bankruptcies,New South Wales,Yes,928
2008Q4,Total bankruptcies,Victoria,Yes,504
2008Q4,Total bankruptcies,Queensland,Yes,521
2008Q4,Total bankruptcies,South Australia,Yes,120
2008Q4,Total bankruptcies,Western Australia,Yes,141
2008Q4,Total bankruptcies,Tasmania,Yes,53
2008Q4,Total bankruptcies,Northern Territory,Yes,9
2008Q4,Total bankruptcies,Australian Capital Territory,Yes,21
2008Q4,Total bankruptcies,Other,Yes,18
2008Q4,Deceased estate,New South Wales,Yes,0
2008Q4,Deceased estate,Victoria,Yes,0
2008Q4,Deceased estate,Queensland,Yes,0
2008Q4,Deceased estate,South Australia,Yes,0
2008Q4,Deceased estate,Western Australia,Yes,0
2008Q4,Deceased estate,Tasmania,Yes,0
2008Q4,Deceased estate,Northern Territory,Yes,0
