Quarter,Type of personal insolvency administration,State,In a business or company,Number of people entering a new personal insolvency,,
Dec-07,Personal insolvency agreement,Other,Total,0,,
Dec-07,Personal insolvency agreement,Total,Total,91,,
Dec-07,Total personal insolvencies,New South Wales,Yes,878,,
Dec-07,Total personal insolvencies,Victoria,Yes,526,,
Dec-07,Total personal insolvencies,Queensland,Yes,511,,
Dec-07,Total personal insolvencies,South Australia,Yes,107,,
Dec-07,Total personal insolvencies,Western Australia,Yes,113,,
Dec-07,Total personal insolvencies,Tasmania,Yes,41,,
Dec-07,Total personal insolvencies,Northern Territory,Yes,8,,
Dec-07,Total personal insolvencies,Australian Capital Territory,Yes,26,,
Dec-07,Total personal insolvencies,Other,Yes,13,,
Dec-07,Total personal insolvencies,Total,Yes,2223,,
Dec-07,Total personal insolvencies,New South Wales,No,1999,,
Dec-07,Total personal insolvencies,Victoria,No,1357,,
Dec-07,Total personal insolvencies,Queensland,No,1251,,
Dec-07,Total personal insolvencies,South Australia,No,426,,
Dec-07,Total personal insolvencies,Western Australia,No,320,,
Dec-07,Total personal insolvencies,Tasmania,No,153,,
Dec-07,Total personal insolvencies,Northern Territory,No,37,,
Dec-07,Total personal insolvencies,Australian Capital Territory,No,58,,
Dec-07,Total personal insolvencies,Other,No,15,,
Dec-07,Total personal insolvencies,Total,No,5616,,
Dec-07,Total personal insolvencies,New South Wales,Total,2877,,
Dec-07,Total personal insolvencies,Victoria,Total,1883,,
Dec-07,Total personal insolvencies,Queensland,Total,1762,,
Dec-07,Total personal insolvencies,South Australia,Total,533,,
Dec-07,Total personal insolvencies,Western Australia,Total,433,,
Dec-07,Total personal insolvencies,Tasmania,Total,194,,
Dec-07,Total personal insolvencies,Northern Territory,Total,45,,
Dec-07,Total personal insolvencies,Australian Capital Territory,Total,84,,
Dec-07,Total personal insolvencies,Other,Total,28,,
Dec-07,Total personal insolvencies,Total,Total,7839,,
Mar-08,Debtor's petition,New South Wales,Yes,598,,
Mar-08,Debtor's petition,Victoria,Yes,344,,
Mar-08,Debtor's petition,Queensland,Yes,337,,
Mar-08,Debtor's petition,South Australia,Yes,100,,
Mar-08,Debtor's petition,Western Australia,Yes,111,,
Mar-08,Debtor's petition,Tasmania,Yes,31,,
Mar-08,Debtor's petition,Northern Territory,Yes,9,,
Mar-08,Debtor's petition,Australian Capital Territory,Yes,15,,
Mar-08,Debtor's petition,Other,Yes,6,,
Mar-08,Debtor's petition,Total,Yes,1551,,
Mar-08,Debtor's petition,New South Wales,No,1564,,
Mar-08,Debtor's petition,Victoria,No,855,,
Mar-08,Debtor's petition,Queensland,No,997,,
Mar-08,Debtor's petition,South Australia,No,413,,
Mar-08,Debtor's petition,Western Australia,No,255,,
Mar-08,Debtor's petition,Tasmania,No,127,,
Mar-08,Debtor's petition,Northern Territory,No,18,,
Mar-08,Debtor's petition,Australian Capital Territory,No,41,,
Mar-08,Debtor's petition,Other,No,10,,
Mar-08,Debtor's petition,Total,No,4280,,
Mar-08,Debtor's petition,New South Wales,Total,2162,,
Mar-08,Debtor's petition,Victoria,Total,1199,,
Mar-08,Debtor's petition,Queensland,Total,1334,,
Mar-08,Debtor's petition,South Australia,Total,513,,
Mar-08,Debtor's petition,Western Australia,Total,366,,
Mar-08,Debtor's petition,Tasmania,Total,158,,
Mar-08,Debtor's petition,Northern Territory,Total,27,,
Mar-08,Debtor's petition,Australian Capital Territory,Total,56,,
Mar-08,Debtor's petition,Other,Total,16,,
Mar-08,Debtor's petition,Total,Total,5831,,
Mar-08,Sequestration order,New South Wales,Yes,124,,
Mar-08,Sequestration order,Victoria,Yes,78,,
Mar-08,Sequestration order,Queensland,Yes,69,,
Mar-08,Sequestration order,South Australia,Yes,13,,
Mar-08,Sequestration order,Western Australia,Yes,19,,
Mar-08,Sequestration order,Tasmania,Yes,2,,
Mar-08,Sequestration order,Northern Territory,Yes,3,,
Mar-08,Sequestration order,Australian Capital Territory,Yes,1,,
Mar-08,Sequestration order,Other,Yes,1,,
Mar-08,Sequestration order,Total,Yes,310,,
Mar-08,Sequestration order,New South Wales,No,96,,
Mar-08,Sequestration order,Victoria,No,47,,
Mar-08,Sequestration order,Queensland,No,13,,
Mar-08,Sequestration order,South Australia,No,14,,
