Quarter,Type of personal insolvency administration,State,In a business or company,Number of people entering a new personal insolvency,,
Mar-21,Deceased estate,Northern Territory,Total,0,,
Mar-21,Deceased estate,Australian Capital Territory,Total,0,,
Mar-21,Deceased estate,Other,Total,0,,
Mar-21,Deceased estate,Total,Total,0,,
Mar-21,Debt agreement,New South Wales,Yes,15,,
Mar-21,Debt agreement,Victoria,Yes,9,,
Mar-21,Debt agreement,Queensland,Yes,8,,
Mar-21,Debt agreement,South Australia,Yes,1,,
Mar-21,Debt agreement,Western Australia,Yes,8,,
Mar-21,Debt agreement,Tasmania,Yes,4,,
Mar-21,Debt agreement,Northern Territory,Yes,1,,
Mar-21,Debt agreement,Australian Capital Territory,Yes,4,,
Mar-21,Debt agreement,Other,Yes,0,,
Mar-21,Debt agreement,Total,Yes,50,,
Mar-21,Debt agreement,New South Wales,No,241,,
Mar-21,Debt agreement,Victoria,No,128,,
Mar-21,Debt agreement,Queensland,No,215,,
Mar-21,Debt agreement,South Australia,No,43,,
Mar-21,Debt agreement,Western Australia,No,91,,
Mar-21,Debt agreement,Tasmania,No,20,,
Mar-21,Debt agreement,Northern Territory,No,15,,
Mar-21,Debt agreement,Australian Capital Territory,No,10,,
Mar-21,Debt agreement,Other,No,3,,
Mar-21,Debt agreement,Total,No,766,,
Mar-21,Debt agreement,New South Wales,Total,256,,
Mar-21,Debt agreement,Victoria,Total,137,,
Mar-21,Debt agreement,Queensland,Total,223,,
Mar-21,Debt agreement,South Australia,Total,44,,
Mar-21,Debt agreement,Western Australia,Total,99,,
Mar-21,Debt agreement,Tasmania,Total,24,,
Mar-21,Debt agreement,Northern Territory,Total,16,,
Mar-21,Debt agreement,Australian Capital Territory,Total,14,,
Mar-21,Debt agreement,Other,Total,3,,
Mar-21,Debt agreement,Total,Total,816,,
Mar-21,Personal insolvency agreement,New South Wales,Yes,6,,
Mar-21,Personal insolvency agreement,Victoria,Yes,2,,
Mar-21,Personal insolvency agreement,Queensland,Yes,2,,
Mar-21,Personal insolvency agreement,South Australia,Yes,1,,
Mar-21,Personal insolvency agreement,Western Australia,Yes,3,,
Mar-21,Personal insolvency agreement,Tasmania,Yes,0,,
Mar-21,Personal insolvency agreement,Northern Territory,Yes,0,,
Mar-21,Personal insolvency agreement,Australian Capital Territory,Yes,0,,
Mar-21,Personal insolvency agreement,Other,Yes,0,,
Mar-21,Personal insolvency agreement,Total,Yes,14,,
Mar-21,Personal insolvency agreement,New South Wales,No,1,,
Mar-21,Personal insolvency agreement,Victoria,No,0,,
Mar-21,Personal insolvency agreement,Queensland,No,0,,
Mar-21,Personal insolvency agreement,South Australia,No,0,,
Mar-21,Personal insolvency agreement,Western Australia,No,2,,
Mar-21,Personal insolvency agreement,Tasmania,No,0,,
Mar-21,Personal insolvency agreement,Northern Territory,No,0,,
Mar-21,Personal insolvency agreement,Australian Capital Territory,No,0,,
Mar-21,Personal insolvency agreement,Other,No,0,,
Mar-21,Personal insolvency agreement,Total,No,3,,
Mar-21,Personal insolvency agreement,New South Wales,Total,7,,
Mar-21,Personal insolvency agreement,Victoria,Total,2,,
Mar-21,Personal insolvency agreement,Queensland,Total,2,,
Mar-21,Personal insolvency agreement,South Australia,Total,1,,
Mar-21,Personal insolvency agreement,Western Australia,Total,5,,
Mar-21,Personal insolvency agreement,Tasmania,Total,0,,
Mar-21,Personal insolvency agreement,Northern Territory,Total,0,,
Mar-21,Personal insolvency agreement,Australian Capital Territory,Total,0,,
Mar-21,Personal insolvency agreement,Other,Total,0,,
Mar-21,Personal insolvency agreement,Total,Total,17,,
Mar-21,Total personal insolvencies,New South Wales,Yes,179,,
Mar-21,Total personal insolvencies,Victoria,Yes,100,,
Mar-21,Total personal insolvencies,Queensland,Yes,172,,
Mar-21,Total personal insolvencies,South Australia,Yes,28,,
Mar-21,Total personal insolvencies,Western Australia,Yes,85,,
Mar-21,Total personal insolvencies,Tasmania,Yes,10,,
Mar-21,Total personal insolvencies,Northern Territory,Yes,3,,
Mar-21,Total personal insolvencies,Australian Capital Territory,Yes,8,,
Mar-21,Total personal insolvencies,Other,Yes,7,,
Mar-21,Total personal insolvencies,Total,Yes,592,,
Mar-21,Total personal insolvencies,New South Wales,No,627,,
Mar-21,Total personal insolvencies,Victoria,No,302,,
Mar-21,Total personal insolvencies,Queensland,No,568,,
Mar-21,Total personal insolvencies,South Australia,No,137,,
Mar-21,Total personal insolvencies,Western Australia,No,205,,
Mar-21,Total personal insolvencies,Tasmania,No,44,,
Mar-21,Total personal insolvencies,Northern Territory,No,24,,
Mar-21,Total personal insolvencies,Australian Capital Territory,No,22,,
Mar-21,Total personal insolvencies,Other,No,24,,
Mar-21,Total personal insolvencies,Total,No,1953,,
Mar-21,Total personal insolvencies,New South Wales,Total,806,,
Mar-21,Total personal insolvencies,Victoria,Total,402,,
Mar-21,Total personal insolvencies,Queensland,Total,740,,
Mar-21,Total personal insolvencies,South Australia,Total,165,,
Mar-21,Total personal insolvencies,Western Australia,Total,290,,
Mar-21,Total personal insolvencies,Tasmania,Total,54,,
Mar-21,Total personal insolvencies,Northern Territory,Total,27,,
Mar-21,Total personal insolvencies,Australian Capital Territory,Total,30,,
Mar-21,Total personal insolvencies,Other,Total,31,,
Mar-21,Total personal insolvencies,Total,Total,2545,,
Jun-21,Debtor's petition,New South Wales,Yes,179,,
Jun-21,Debtor's petition,Victoria,Yes,100,,
Jun-21,Debtor's petition,Queensland,Yes,191,,
Jun-21,Debtor's petition,South Australia,Yes,31,,
Jun-21,Debtor's petition,Western Australia,Yes,63,,
Jun-21,Debtor's petition,Tasmania,Yes,4,,
Jun-21,Debtor's petition,Northern Territory,Yes,3,,
Jun-21,Debtor's petition,Australian Capital Territory,Yes,8,,
Jun-21,Debtor's petition,Other,Yes,1,,
Jun-21,Debtor's petition,Total,Yes,580,,
Jun-21,Debtor's petition,New South Wales,No,308,,
Jun-21,Debtor's petition,Victoria,No,144,,
Jun-21,Debtor's petition,Queensland,No,315,,
Jun-21,Debtor's petition,South Australia,No,90,,
Jun-21,Debtor's petition,Western Australia,No,128,,
Jun-21,Debtor's petition,Tasmania,No,43,,
Jun-21,Debtor's petition,Northern Territory,No,6,,
Jun-21,Debtor's petition,Australian Capital Territory,No,12,,
Jun-21,Debtor's petition,Other,No,5,,
Jun-21,Debtor's petition,Total,No,1051,,
Jun-21,Debtor's petition,New South Wales,Total,487,,
Jun-21,Debtor's petition,Victoria,Total,244,,
Jun-21,Debtor's petition,Queensland,Total,506,,
Jun-21,Debtor's petition,South Australia,Total,121,,
Jun-21,Debtor's petition,Western Australia,Total,191,,
Jun-21,Debtor's petition,Tasmania,Total,47,,
Jun-21,Debtor's petition,Northern Territory,Total,9,,
Jun-21,Debtor's petition,Australian Capital Territory,Total,20,,
Jun-21,Debtor's petition,Other,Total,6,,
Jun-21,Debtor's petition,Total,Total,1631,,
Jun-21,Sequestration order,New South Wales,Yes,8,,
Jun-21,Sequestration order,Victoria,Yes,11,,
Jun-21,Sequestration order,Queensland,Yes,7,,
Jun-21,Sequestration order,South Australia,Yes,2,,
Jun-21,Sequestration order,Western Australia,Yes,4,,
Jun-21,Sequestration order,Tasmania,Yes,0,,
Jun-21,Sequestration order,Northern Territory,Yes,0,,
Jun-21,Sequestration order,Australian Capital Territory,Yes,1,,
Jun-21,Sequestration order,Other,Yes,1,,
Jun-21,Sequestration order,Total,Yes,34,,
Jun-21,Sequestration order,New South Wales,No,24,,
Jun-21,Sequestration order,Victoria,No,23,,
Jun-21,Sequestration order,Queensland,No,15,,
Jun-21,Sequestration order,South Australia,No,3,,
Jun-21,Sequestration order,Western Australia,No,5,,
Jun-21,Sequestration order,Tasmania,No,1,,
Jun-21,Sequestration order,Northern Territory,No,1,,
Jun-21,Sequestration order,Australian Capital Territory,No,1,,
Jun-21,Sequestration order,Other,No,0,,
Jun-21,Sequestration order,Total,No,73,,
Jun-21,Sequestration order,New South Wales,Total,32,,
Jun-21,Sequestration order,Victoria,Total,34,,
Jun-21,Sequestration order,Queensland,Total,22,,
Jun-21,Sequestration order,South Australia,Total,5,,
Jun-21,Sequestration order,Western Australia,Total,9,,
Jun-21,Sequestration order,Tasmania,Total,1,,
Jun-21,Sequestration order,Northern Territory,Total,1,,
Jun-21,Sequestration order,Australian Capital Territory,Total,2,,
Jun-21,Sequestration order,Other,Total,1,,
Jun-21,Sequestration order,Total,Total,107,,
Jun-21,Total bankruptcies,New South Wales,Yes,187,,
Jun-21,Total bankruptcies,Victoria,Yes,111,,
Jun-21,Total bankruptcies,Queensland,Yes,198,,
Jun-21,Total bankruptcies,South Australia,Yes,33,,
Jun-21,Total bankruptcies,Western Australia,Yes,67,,
Jun-21,Total bankruptcies,Tasmania,Yes,4,,
Jun-21,Total bankruptcies,Northern Territory,Yes,3,,
Jun-21,Total bankruptcies,Australian Capital Territory,Yes,9,,
Jun-21,Total bankruptcies,Other,Yes,2,,
Jun-21,Total bankruptcies,Total,Yes,614,,
Jun-21,Total bankruptcies,New South Wales,No,332,,
Jun-21,Total bankruptcies,Victoria,No,167,,
Jun-21,Total bankruptcies,Queensland,No,330,,
Jun-21,Total bankruptcies,South Australia,No,93,,
Jun-21,Total bankruptcies,Western Australia,No,133,,
Jun-21,Total bankruptcies,Tasmania,No,44,,
Jun-21,Total bankruptcies,Northern Territory,No,7,,
Jun-21,Total bankruptcies,Australian Capital Territory,No,13,,
Jun-21,Total bankruptcies,Other,No,5,,
Jun-21,Total bankruptcies,Total,No,1124,,
Jun-21,Total bankruptcies,New South Wales,Total,519,,
Jun-21,Total bankruptcies,Victoria,Total,278,,
Jun-21,Total bankruptcies,Queensland,Total,528,,
Jun-21,Total bankruptcies,South Australia,Total,126,,
Jun-21,Total bankruptcies,Western Australia,Total,200,,
Jun-21,Total bankruptcies,Tasmania,Total,48,,
Jun-21,Total bankruptcies,Northern Territory,Total,10,,
Jun-21,Total bankruptcies,Australian Capital Territory,Total,22,,
Jun-21,Total bankruptcies,Other,Total,7,,
Jun-21,Total bankruptcies,Total,Total,1738,,
Jun-21,Deceased estate,New South Wales,Yes,0,,
Jun-21,Deceased estate,Victoria,Yes,0,,
Jun-21,Deceased estate,Queensland,Yes,0,,
Jun-21,Deceased estate,South Australia,Yes,0,,
Jun-21,Deceased estate,Western Australia,Yes,0,,
Jun-21,Deceased estate,Tasmania,Yes,0,,
Jun-21,Deceased estate,Northern Territory,Yes,0,,
Jun-21,Deceased estate,Australian Capital Territory,Yes,0,,
Jun-21,Deceased estate,Other,Yes,0,,
Jun-21,Deceased estate,Total,Yes,0,,
Jun-21,Deceased estate,New South Wales,No,0,,
Jun-21,Deceased estate,Victoria,No,0,,
Jun-21,Deceased estate,Queensland,No,0,,
Jun-21,Deceased estate,South Australia,No,0,,
Jun-21,Deceased estate,Western Australia,No,0,,
Jun-21,Deceased estate,Tasmania,No,0,,
Jun-21,Deceased estate,Northern Territory,No,0,,
Jun-21,Deceased estate,Australian Capital Territory,No,0,,
Jun-21,Deceased estate,Other,No,1,,
Jun-21,Deceased estate,Total,No,1,,
Jun-21,Deceased estate,New South Wales,Total,0,,
Jun-21,Deceased estate,Victoria,Total,0,,
Jun-21,Deceased estate,Queensland,Total,0,,
Jun-21,Deceased estate,South Australia,Total,0,,
Jun-21,Deceased estate,Western Australia,Total,0,,
Jun-21,Deceased estate,Tasmania,Total,0,,
Jun-21,Deceased estate,Northern Territory,Total,0,,
Jun-21,Deceased estate,Australian Capital Territory,Total,0,,
Jun-21,Deceased estate,Other,Total,1,,
Jun-21,Deceased estate,Total,Total,1,,
Jun-21,Debt agreement,New South Wales,Yes,23,,
Jun-21,Debt agreement,Victoria,Yes,10,,
Jun-21,Debt agreement,Queensland,Yes,19,,
Jun-21,Debt agreement,South Australia,Yes,0,,
Jun-21,Debt agreement,Western Australia,Yes,9,,
Jun-21,Debt agreement,Tasmania,Yes,2,,
Jun-21,Debt agreement,Northern Territory,Yes,2,,
Jun-21,Debt agreement,Australian Capital Territory,Yes,0,,
Jun-21,Debt agreement,Other,Yes,0,,
Jun-21,Debt agreement,Total,Yes,65,,
Jun-21,Debt agreement,New South Wales,No,278,,
Jun-21,Debt agreement,Victoria,No,156,,
Jun-21,Debt agreement,Queensland,No,219,,
Jun-21,Debt agreement,South Australia,No,45,,
Jun-21,Debt agreement,Western Australia,No,100,,
Jun-21,Debt agreement,Tasmania,No,30,,
Jun-21,Debt agreement,Northern Territory,No,11,,
Jun-21,Debt agreement,Australian Capital Territory,No,16,,
Jun-21,Debt agreement,Other,No,1,,
Jun-21,Debt agreement,Total,No,856,,
Jun-21,Debt agreement,New South Wales,Total,301,,
Jun-21,Debt agreement,Victoria,Total,166,,
Jun-21,Debt agreement,Queensland,Total,238,,
Jun-21,Debt agreement,South Australia,Total,45,,
Jun-21,Debt agreement,Western Australia,Total,109,,
Jun-21,Debt agreement,Tasmania,Total,32,,
Jun-21,Debt agreement,Northern Territory,Total,13,,
Jun-21,Debt agreement,Australian Capital Territory,Total,16,,
Jun-21,Debt agreement,Other,Total,1,,
Jun-21,Debt agreement,Total,Total,921,,
Jun-21,Personal insolvency agreement,New South Wales,Yes,4,,
Jun-21,Personal insolvency agreement,Victoria,Yes,2,,
Jun-21,Personal insolvency agreement,Queensland,Yes,4,,
Jun-21,Personal insolvency agreement,South Australia,Yes,1,,
Jun-21,Personal insolvency agreement,Western Australia,Yes,1,,
Jun-21,Personal insolvency agreement,Tasmania,Yes,0,,
Jun-21,Personal insolvency agreement,Northern Territory,Yes,0,,
Jun-21,Personal insolvency agreement,Australian Capital Territory,Yes,0,,
Jun-21,Personal insolvency agreement,Other,Yes,0,,
Jun-21,Personal insolvency agreement,Total,Yes,12,,
Jun-21,Personal insolvency agreement,New South Wales,No,3,,
Jun-21,Personal insolvency agreement,Victoria,No,1,,
Jun-21,Personal insolvency agreement,Queensland,No,3,,
Jun-21,Personal insolvency agreement,South Australia,No,1,,
Jun-21,Personal insolvency agreement,Western Australia,No,2,,
Jun-21,Personal insolvency agreement,Tasmania,No,0,,
Jun-21,Personal insolvency agreement,Northern Territory,No,0,,
Jun-21,Personal insolvency agreement,Australian Capital Territory,No,0,,
Jun-21,Personal insolvency agreement,Other,No,0,,
Jun-21,Personal insolvency agreement,Total,No,10,,
Jun-21,Personal insolvency agreement,New South Wales,Total,7,,
Jun-21,Personal insolvency agreement,Victoria,Total,3,,
Jun-21,Personal insolvency agreement,Queensland,Total,7,,
Jun-21,Personal insolvency agreement,South Australia,Total,2,,
Jun-21,Personal insolvency agreement,Western Australia,Total,3,,
Jun-21,Personal insolvency agreement,Tasmania,Total,0,,
Jun-21,Personal insolvency agreement,Northern Territory,Total,0,,
Jun-21,Personal insolvency agreement,Australian Capital Territory,Total,0,,
Jun-21,Personal insolvency agreement,Other,Total,0,,
Jun-21,Personal insolvency agreement,Total,Total,22,,
Jun-21,Total personal insolvencies,New South Wales,Yes,214,,
Jun-21,Total personal insolvencies,Victoria,Yes,123,,
Jun-21,Total personal insolvencies,Queensland,Yes,221,,
Jun-21,Total personal insolvencies,South Australia,Yes,34,,
Jun-21,Total personal insolvencies,Western Australia,Yes,77,,
Jun-21,Total personal insolvencies,Tasmania,Yes,6,,
Jun-21,Total personal insolvencies,Northern Territory,Yes,5,,
Jun-21,Total personal insolvencies,Australian Capital Territory,Yes,9,,
Jun-21,Total personal insolvencies,Other,Yes,2,,
Jun-21,Total personal insolvencies,Total,Yes,691,,
Jun-21,Total personal insolvencies,New South Wales,No,613,,
Jun-21,Total personal insolvencies,Victoria,No,324,,
Jun-21,Total personal insolvencies,Queensland,No,552,,
Jun-21,Total personal insolvencies,South Australia,No,139,,
Jun-21,Total personal insolvencies,Western Australia,No,235,,
Jun-21,Total personal insolvencies,Tasmania,No,74,,
Jun-21,Total personal insolvencies,Northern Territory,No,18,,
Jun-21,Total personal insolvencies,Australian Capital Territory,No,29,,
Jun-21,Total personal insolvencies,Other,No,7,,
Jun-21,Total personal insolvencies,Total,No,1991,,
Jun-21,Total personal insolvencies,New South Wales,Total,827,,
Jun-21,Total personal insolvencies,Victoria,Total,447,,
Jun-21,Total personal insolvencies,Queensland,Total,773,,
Jun-21,Total personal insolvencies,South Australia,Total,173,,
Jun-21,Total personal insolvencies,Western Australia,Total,312,,
Jun-21,Total personal insolvencies,Tasmania,Total,80,,
Jun-21,Total personal insolvencies,Northern Territory,Total,23,,
Jun-21,Total personal insolvencies,Australian Capital Territory,Total,38,,
Jun-21,Total personal insolvencies,Other,Total,9,,
Jun-21,Total personal insolvencies,Total,Total,2682,,
Sep-21,Debtor's petition,New South Wales,Yes,138,,
Sep-21,Debtor's petition,Victoria,Yes,87,,
Sep-21,Debtor's petition,Queensland,Yes,171,,
Sep-21,Debtor's petition,South Australia,Yes,16,,
Sep-21,Debtor's petition,Western Australia,Yes,81,,
Sep-21,Debtor's petition,Tasmania,Yes,9,,
Sep-21,Debtor's petition,Northern Territory,Yes,5,,
Sep-21,Debtor's petition,Australian Capital Territory,Yes,11,,
Sep-21,Debtor's petition,Other,Yes,0,,
Sep-21,Debtor's petition,Total,Yes,518,,
Sep-21,Debtor's petition,New South Wales,No,253,,
Sep-21,Debtor's petition,Victoria,No,153,,
Sep-21,Debtor's petition,Queensland,No,287,,
Sep-21,Debtor's petition,South Australia,No,71,,
Sep-21,Debtor's petition,Western Australia,No,116,,
Sep-21,Debtor's petition,Tasmania,No,35,,
Sep-21,Debtor's petition,Northern Territory,No,5,,
Sep-21,Debtor's petition,Australian Capital Territory,No,8,,
Sep-21,Debtor's petition,Other,No,5,,
Sep-21,Debtor's petition,Total,No,933,,
Sep-21,Debtor's petition,New South Wales,Total,391,,
Sep-21,Debtor's petition,Victoria,Total,240,,
Sep-21,Debtor's petition,Queensland,Total,458,,
Sep-21,Debtor's petition,South Australia,Total,87,,
Sep-21,Debtor's petition,Western Australia,Total,197,,
Sep-21,Debtor's petition,Tasmania,Total,44,,
Sep-21,Debtor's petition,Northern Territory,Total,10,,
Sep-21,Debtor's petition,Australian Capital Territory,Total,19,,
Sep-21,Debtor's petition,Other,Total,5,,
Sep-21,Debtor's petition,Total,Total,1451,,
Sep-21,Sequestration order,New South Wales,Yes,18,,
Sep-21,Sequestration order,Victoria,Yes,6,,
Sep-21,Sequestration order,Queensland,Yes,7,,
Sep-21,Sequestration order,South Australia,Yes,1,,
Sep-21,Sequestration order,Western Australia,Yes,1,,
Sep-21,Sequestration order,Tasmania,Yes,0,,
Sep-21,Sequestration order,Northern Territory,Yes,1,,
Sep-21,Sequestration order,Australian Capital Territory,Yes,1,,
Sep-21,Sequestration order,Other,Yes,0,,
Sep-21,Sequestration order,Total,Yes,35,,
Sep-21,Sequestration order,New South Wales,No,62,,
Sep-21,Sequestration order,Victoria,No,37,,
Sep-21,Sequestration order,Queensland,No,15,,
Sep-21,Sequestration order,South Australia,No,6,,
Sep-21,Sequestration order,Western Australia,No,8,,
Sep-21,Sequestration order,Tasmania,No,0,,
Sep-21,Sequestration order,Northern Territory,No,1,,
Sep-21,Sequestration order,Australian Capital Territory,No,2,,
Sep-21,Sequestration order,Other,No,0,,
Sep-21,Sequestration order,Total,No,131,,
Sep-21,Sequestration order,New South Wales,Total,80,,
Sep-21,Sequestration order,Victoria,Total,43,,
Sep-21,Sequestration order,Queensland,Total,22,,
Sep-21,Sequestration order,South Australia,Total,7,,
Sep-21,Sequestration order,Western Australia,Total,9,,
Sep-21,Sequestration order,Tasmania,Total,0,,
Sep-21,Sequestration order,Northern Territory,Total,2,,
Sep-21,Sequestration order,Australian Capital Territory,Total,3,,
Sep-21,Sequestration order,Other,Total,0,,
Sep-21,Sequestration order,Total,Total,166,,
Sep-21,Total bankruptcies,New South Wales,Yes,156,,
Sep-21,Total bankruptcies,Victoria,Yes,93,,
Sep-21,Total bankruptcies,Queensland,Yes,178,,
Sep-21,Total bankruptcies,South Australia,Yes,17,,
Sep-21,Total bankruptcies,Western Australia,Yes,82,,
Sep-21,Total bankruptcies,Tasmania,Yes,9,,
Sep-21,Total bankruptcies,Northern Territory,Yes,6,,
Sep-21,Total bankruptcies,Australian Capital Territory,Yes,12,,
Sep-21,Total bankruptcies,Other,Yes,0,,
Sep-21,Total bankruptcies,Total,Yes,553,,
Sep-21,Total bankruptcies,New South Wales,No,315,,
Sep-21,Total bankruptcies,Victoria,No,190,,
Sep-21,Total bankruptcies,Queensland,No,302,,
Sep-21,Total bankruptcies,South Australia,No,77,,
Sep-21,Total bankruptcies,Western Australia,No,124,,
Sep-21,Total bankruptcies,Tasmania,No,35,,
Sep-21,Total bankruptcies,Northern Territory,No,6,,
Sep-21,Total bankruptcies,Australian Capital Territory,No,10,,
Sep-21,Total bankruptcies,Other,No,5,,
Sep-21,Total bankruptcies,Total,No,1064,,
Sep-21,Total bankruptcies,New South Wales,Total,471,,
Sep-21,Total bankruptcies,Victoria,Total,283,,
Sep-21,Total bankruptcies,Queensland,Total,480,,
Sep-21,Total bankruptcies,South Australia,Total,94,,
Sep-21,Total bankruptcies,Western Australia,Total,206,,
Sep-21,Total bankruptcies,Tasmania,Total,44,,
Sep-21,Total bankruptcies,Northern Territory,Total,12,,
Sep-21,Total bankruptcies,Australian Capital Territory,Total,22,,
Sep-21,Total bankruptcies,Other,Total,5,,
Sep-21,Total bankruptcies,Total,Total,1617,,
Sep-21,Deceased estate,New South Wales,Yes,0,,
Sep-21,Deceased estate,Victoria,Yes,0,,
Sep-21,Deceased estate,Queensland,Yes,0,,
Sep-21,Deceased estate,South Australia,Yes,0,,
Sep-21,Deceased estate,Western Australia,Yes,0,,
Sep-21,Deceased estate,Tasmania,Yes,0,,
Sep-21,Deceased estate,Northern Territory,Yes,0,,
Sep-21,Deceased estate,Australian Capital Territory,Yes,0,,
Sep-21,Deceased estate,Other,Yes,2,,
Sep-21,Deceased estate,Total,Yes,2,,
Sep-21,Deceased estate,New South Wales,No,0,,
Sep-21,Deceased estate,Victoria,No,0,,
Sep-21,Deceased estate,Queensland,No,0,,
Sep-21,Deceased estate,South Australia,No,0,,
Sep-21,Deceased estate,Western Australia,No,0,,
Sep-21,Deceased estate,Tasmania,No,0,,
Sep-21,Deceased estate,Northern Territory,No,0,,
Sep-21,Deceased estate,Australian Capital Territory,No,0,,
Sep-21,Deceased estate,Other,No,1,,
Sep-21,Deceased estate,Total,No,1,,
Sep-21,Deceased estate,New South Wales,Total,0,,
Sep-21,Deceased estate,Victoria,Total,0,,
Sep-21,Deceased estate,Queensland,Total,0,,
Sep-21,Deceased estate,South Australia,Total,0,,
Sep-21,Deceased estate,Western Australia,Total,0,,
Sep-21,Deceased estate,Tasmania,Total,0,,
Sep-21,Deceased estate,Northern Territory,Total,0,,
Sep-21,Deceased estate,Australian Capital Territory,Total,0,,
Sep-21,Deceased estate,Other,Total,3,,
Sep-21,Deceased estate,Total,Total,3,,
Sep-21,Debt agreement,New South Wales,Yes,23,,
Sep-21,Debt agreement,Victoria,Yes,14,,
Sep-21,Debt agreement,Queensland,Yes,16,,
Sep-21,Debt agreement,South Australia,Yes,0,,
Sep-21,Debt agreement,Western Australia,Yes,8,,
Sep-21,Debt agreement,Tasmania,Yes,1,,
Sep-21,Debt agreement,Northern Territory,Yes,0,,
Sep-21,Debt agreement,Australian Capital Territory,Yes,0,,
Sep-21,Debt agreement,Other,Yes,0,,
Sep-21,Debt agreement,Total,Yes,62,,
Sep-21,Debt agreement,New South Wales,No,309,,
Sep-21,Debt agreement,Victoria,No,145,,
Sep-21,Debt agreement,Queensland,No,265,,
Sep-21,Debt agreement,South Australia,No,42,,
Sep-21,Debt agreement,Western Australia,No,85,,
Sep-21,Debt agreement,Tasmania,No,24,,
Sep-21,Debt agreement,Northern Territory,No,21,,
Sep-21,Debt agreement,Australian Capital Territory,No,12,,
Sep-21,Debt agreement,Other,No,1,,
Sep-21,Debt agreement,Total,No,904,,
Sep-21,Debt agreement,New South Wales,Total,332,,
Sep-21,Debt agreement,Victoria,Total,159,,
Sep-21,Debt agreement,Queensland,Total,281,,
Sep-21,Debt agreement,South Australia,Total,42,,
Sep-21,Debt agreement,Western Australia,Total,93,,
Sep-21,Debt agreement,Tasmania,Total,25,,
Sep-21,Debt agreement,Northern Territory,Total,21,,
Sep-21,Debt agreement,Australian Capital Territory,Total,12,,
Sep-21,Debt agreement,Other,Total,1,,
Sep-21,Debt agreement,Total,Total,966,,
Sep-21,Personal insolvency agreement,New South Wales,Yes,3,,
Sep-21,Personal insolvency agreement,Victoria,Yes,4,,
Sep-21,Personal insolvency agreement,Queensland,Yes,3,,
Sep-21,Personal insolvency agreement,South Australia,Yes,1,,
Sep-21,Personal insolvency agreement,Western Australia,Yes,1,,
Sep-21,Personal insolvency agreement,Tasmania,Yes,0,,
Sep-21,Personal insolvency agreement,Northern Territory,Yes,0,,
Sep-21,Personal insolvency agreement,Australian Capital Territory,Yes,1,,
Sep-21,Personal insolvency agreement,Other,Yes,0,,
Sep-21,Personal insolvency agreement,Total,Yes,13,,
Sep-21,Personal insolvency agreement,New South Wales,No,7,,
Sep-21,Personal insolvency agreement,Victoria,No,1,,
Sep-21,Personal insolvency agreement,Queensland,No,9,,
Sep-21,Personal insolvency agreement,South Australia,No,1,,
Sep-21,Personal insolvency agreement,Western Australia,No,3,,
Sep-21,Personal insolvency agreement,Tasmania,No,0,,
Sep-21,Personal insolvency agreement,Northern Territory,No,0,,
Sep-21,Personal insolvency agreement,Australian Capital Territory,No,1,,
Sep-21,Personal insolvency agreement,Other,No,0,,
Sep-21,Personal insolvency agreement,Total,No,22,,
Sep-21,Personal insolvency agreement,New South Wales,Total,10,,
Sep-21,Personal insolvency agreement,Victoria,Total,5,,
Sep-21,Personal insolvency agreement,Queensland,Total,12,,
Sep-21,Personal insolvency agreement,South Australia,Total,2,,
Sep-21,Personal insolvency agreement,Western Australia,Total,4,,
Sep-21,Personal insolvency agreement,Tasmania,Total,0,,
Sep-21,Personal insolvency agreement,Northern Territory,Total,0,,
Sep-21,Personal insolvency agreement,Australian Capital Territory,Total,2,,
Sep-21,Personal insolvency agreement,Other,Total,0,,
Sep-21,Personal insolvency agreement,Total,Total,35,,
Sep-21,Total personal insolvencies,New South Wales,Yes,182,,
Sep-21,Total personal insolvencies,Victoria,Yes,111,,
Sep-21,Total personal insolvencies,Queensland,Yes,197,,
Sep-21,Total personal insolvencies,South Australia,Yes,18,,
Sep-21,Total personal insolvencies,Western Australia,Yes,91,,
Sep-21,Total personal insolvencies,Tasmania,Yes,10,,
Sep-21,Total personal insolvencies,Northern Territory,Yes,6,,
Sep-21,Total personal insolvencies,Australian Capital Territory,Yes,13,,
Sep-21,Total personal insolvencies,Other,Yes,2,,
Sep-21,Total personal insolvencies,Total,Yes,630,,
Sep-21,Total personal insolvencies,New South Wales,No,631,,
Sep-21,Total personal insolvencies,Victoria,No,336,,
Sep-21,Total personal insolvencies,Queensland,No,576,,
Sep-21,Total personal insolvencies,South Australia,No,120,,
Sep-21,Total personal insolvencies,Western Australia,No,212,,
Sep-21,Total personal insolvencies,Tasmania,No,59,,
Sep-21,Total personal insolvencies,Northern Territory,No,27,,
Sep-21,Total personal insolvencies,Australian Capital Territory,No,23,,
Sep-21,Total personal insolvencies,Other,No,7,,
Sep-21,Total personal insolvencies,Total,No,1991,,
Sep-21,Total personal insolvencies,New South Wales,Total,813,,
Sep-21,Total personal insolvencies,Victoria,Total,447,,
Sep-21,Total personal insolvencies,Queensland,Total,773,,
Sep-21,Total personal insolvencies,South Australia,Total,138,,
Sep-21,Total personal insolvencies,Western Australia,Total,303,,
Sep-21,Total personal insolvencies,Tasmania,Total,69,,
Sep-21,Total personal insolvencies,Northern Territory,Total,33,,
Sep-21,Total personal insolvencies,Australian Capital Territory,Total,36,,
Sep-21,Total personal insolvencies,Other,Total,9,,
